"1","Usuarios","<a ><i class=""fa fa-user-o""></i> <span class=""nav-label"">Usuarios</span><span class=""fa arrow""></span></a>","fa fa-user-o",,"0","2017-05-09 10:04:30","0000-00-00 00:00:00"
"2","Menús","<a ><i class=""fa fa-user-o""></i> <span class=""nav-label"">Menús</span><span class=""fa arrow""></span></a>","fa fa-bars",,"0","2017-05-09 10:03:45","0000-00-00 00:00:00"
"3","Bandeja de entrada",,"fa fa-inbox","bandeja_entrada","9","2017-11-07 12:04:14","0000-00-00 00:00:00"
"4","Bandeja política",,"fa fa-inbox","bandeja_politico","10","2017-11-08 11:10:52","0000-00-00 00:00:00"
"5","Bandeja asistencial",,"fa fa-inbox","bandeja_asistencial","11","2017-11-08 12:15:39","0000-00-00 00:00:00"
"6","Bandeja operantes",,"fa fa-inbox","bandeja_operantes","12","2017-11-08 14:04:34","0000-00-00 00:00:00"
"7","Bandeja oponentes",,"fa fa-inbox","bandeja_oponentes","13","2017-11-08 14:17:13","0000-00-00 00:00:00"
"8","Bandeja individuales",,"fa fa-inbox","bandeja_individuales","14","2017-11-08 14:33:40","0000-00-00 00:00:00"
"9","Bandeja colectivos",,"fa fa-inbox","bandeja_colectivos","15","2017-11-08 14:49:51","0000-00-00 00:00:00"
"10","Bandeja de respuestas",,"fa fa-inbox","bandeja_respuestas","16","2017-11-08 14:49:51","0000-00-00 00:00:00"
"11","Bandeja de resueltos",,"fa fa-inbox","bandeja_resueltos","17","2017-11-08 14:49:51","0000-00-00 00:00:00"
